

LIBRARY_SPARSE,Preparation
Współczynniki wielomianu:
0.001362323554709884 x^1,-0.15284197162393004 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,0.032434031816614195,0.8384600880756025,0.1683462671833858
153,0.05559353224668223,0.6790254350627483,0.11760876575331777
171,0.08011535623146013,0.712947008944028,0.19898069476853988
190,0.10599950377094791,1.4264310395215254,0.06231414777094791
210,0.1332459748651456,0.7492713275849637,0.05707370086514561
231,0.1618547695140532,1.397991286474313,0.0943587905140532
253,0.19182588771767062,1.3274872517524217,0.10940829871767062
276,0.22315932947599798,1.5061417218642181,0.13411435347599798
300,0.2558550947890352,0.5705417269651842,0.09294627778903516
325,0.28991318365678226,0.49546812343560914,0.09605202465678225
351,0.3253335960792393,0.41734925082307234,0.09579694807923927
378,0.3621163320564061,0.3685108431090094,0.09751022105640611
406,0.40026139158828294,0.04036643674584881,0.016836766411717052
435,0.4397687746748696,0.18247665518865872,0.09815931932513039
465,0.4806384813161661,0.18626468878242006,0.11001854768383384
496,0.5228705115121726,0.19865963412727336,0.12962440048782742
Blad aproksymacji = 0.20314207685102173
Czas wykonania dla 100000:,136.079513499364469960

GAUSS,Preparation
Współczynniki wielomianu:
-1.0314478590740781E-8 x^3,1.071950377682846E-5 x^2,-0.0035201910290694797 x^1,0.36411774709550615 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,0.057694091940325654,0.4403845184814367,0.04540186205967435
153,0.03951928427206364,26.88871430279678,0.03810224927206364
171,0.024039521754179616,5.498798010468468,0.020340449754179615
190,0.011508529261921474,8.641549297502406,0.010314890261921474
210,0.0020853613202002075,0.7358815045364063,8.840343202002074E-4
231,-0.004183235654799944,2.989619960143229,0.006285765654799944
253,-0.007381389417085105,3.421549643441478,0.010429598417085104
276,-0.007743596255387897,5.025920426418307,0.009667031255387896
300,-0.005675143660777371,3.6640540011328966,0.007805409660777371
325,-0.001773461297341905,1.7044939221293403,0.004290816297341906
351,0.003149599724055041,0.07951546698577801,2.3199472405504087E-4
378,0.008044559268945095,1.493817587924703,0.004818758268945095
406,0.011600172299354394,1.8579342712854783,0.007541236299354394
435,0.012218364690826045,1.9081989795249303,0.008017013690826046
465,0.007988240746371833,0.4446133255544238,0.002458566746371833
496,-0.0033408375926484712,1.6087671824550767,0.008828711592648471
Blad aproksymacji = 0.004583504947925357
Czas wykonania dla 100000:,-10207635.207957656252463850000000

GAUSS_SEIDEL_MINUS10,Preparation
Współczynniki wielomianu:
3.517727481635279E-8 x^2,-1.0609585443456374E-5 x^1,0.0023837809673237158 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,0.00159151622201691,0.24995665579892826,5.303827779830901E-4
153,0.001583979220650893,0.8693196491803836,7.366232206508931E-4
171,0.0015981605493976475,0.0499211320387233,7.598854939764753E-5
190,0.0016378593539373401,0.04685790856537457,8.051964606265978E-5
210,0.0017070858435990354,0.14982220991790363,2.2243384359903542E-4
231,0.0018100612913606944,0.24590771249447174,5.902567086393054E-4
253,0.0019512180338491789,0.08257715113067417,1.7562896615082096E-4
276,0.0021351994713402467,0.1599137948617885,2.943734713402467E-4
300,0.0023668600677585546,0.0021280359917565748,5.0260677585543985E-6
325,0.002651265350677658,0.002065291636694388,5.4643506776576485E-6
351,0.0029936919113200088,0.012815056744120455,3.787891132000891E-5
378,0.0033996274045569584,9.790289695061685E-4,3.331595443041742E-6
406,0.003874770548908756,0.015116618645885229,5.9472451091243436E-5
435,0.00442503112654455,0.015035524053890324,6.554712654455001E-5
465,0.005056529983282383,0.02130704375171097,1.0549198328238356E-4
496,0.005775599028589203,0.01856244955862777,1.0923697141079682E-4
Blad aproksymacji = 1.383954109310157E-6
Czas wykonania dla 100000:,350.71417340014958631580000

GAUSS_SPARSE,Preparation
Współczynniki wielomianu:
1.7814780464374925E-8 x^2,1.4730935288992108E-6 x^1,7.970357650120461E-4 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,0.0013268786644114175,0.3110581056927187,5.990873355885826E-4
153,0.0014394452708241779,0.00912215635870528,1.3251729175822085E-5
171,0.0015698567540125981,0.7075984776105778,6.505207540125982E-4
190,0.0017200371102668308,0.2119680035138076,3.0082711026683086E-4
210,0.0018920172245598145,0.4155543652170443,5.554262245598145E-4
231,0.002087934870547274,0.2738388203869592,7.873701294527258E-4
253,0.002310034710567721,0.4909095964521538,7.606217105677209E-4
276,0.0025606682956424527,0.02708138063582158,7.127670435754744E-5
300,0.0028422940654755525,0.4207484562922173,0.002064544934524447
325,0.003157477348453891,0.2119754971741062,5.52245348453891E-4
351,0.0035088903616471243,0.26692900088825894,7.392873616471245E-4
378,0.003899312210807695,0.11094061727389228,4.8657278919230504E-4
406,0.004331628890370831,0.18447118493384101,6.746138903708306E-4
435,0.004808833283454548,0.028972263373791524,1.4347971654545162E-4
465,0.005334025161859646,0.03678492487225322,1.8925016185964653E-4
496,0.005910411186069716,0.04170340107261505,2.572108139302842E-4
Blad aproksymacji = 8.313114163056468E-6
Czas wykonania dla 100000:,178.295911032404183126100000
