,,,,,
,,,,,
,,,,,
GAUSS,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
,,,,,
15,1.38777878078145E-16,8.24745027897046E-19,0.000413268465465,0.015918473357357,333
16,1.66533453693773E-16,2.14570883371851E-18,0.000414766169872,0.015883961980769,312
17,1.66533453693773E-16,9.8064596014968E-19,0.00049826805102,0.022226325108844,294
18,1.2490009027033E-16,1.2588672993591E-18,0.000607545469314,0.029905629830325,277
19,1.38777878078145E-16,2.60808058211729E-19,0.000763318026616,0.040842131547529,263
20,2.77555756156289E-16,1.92844226459142E-18,0.000924873572,0.053755668688,250
21,2.22044604925031E-16,3.01443886193085E-18,0.001295301894737,0.072128357052632,19
22,1.38777878078145E-16,5.59643059832944E-18,0.001242802666667,0.093693257222222,18
23,1.66533453693773E-16,1.68182224047625E-18,0.001503876705882,0.117611821,17
24,1.66533453693773E-16,4.90152360658364E-19,0.0018536914375,0.1508743478125,16
25,2.22044604925031E-16,9.11953264149549E-19,0.0020840206875,0.1904750441875,16
26,2.77555756156289E-16,3.74857642297787E-19,0.0025030006,0.243076024466667,15
27,2.22044604925031E-16,3.30009226462093E-19,0.002696334214286,0.297279935,14
28,2.77555756156289E-16,6.02974838834778E-19,0.003518623285714,0.365199472928571,14
29,3.33066907387547E-16,1.09600833979263E-18,0.004536982923077,0.554197683846154,13
30,2.77555756156289E-16,4.53087655077593E-18,0.006046816076923,0.669926127384615,13
31,2.77555756156289E-16,5.32091008621242E-18,0.005641394416667,0.84875574325,12
32,3.88578058618805E-16,3.20780666997167E-19,0.007527643333333,1.02381813158333,12
33,2.77555756156289E-16,1.71812347969945E-18,0.007649195916667,1.19822715016667,12
34,2.22044604925031E-16,5.6684917530629E-18,0.009538987363636,1.54175071154545,11
35,2.35922392732846E-16,2.45404388658772E-19,0.008197597090909,1.370919962,11
36,3.33066907387547E-16,8.49302680501827E-19,0.008772227090909,1.442720565,11
37,2.77555756156289E-16,5.974282616227E-19,0.0091831316,1.71721062,10
38,2.77555756156289E-16,3.99648458741768E-19,0.0109811072,1.980085504,10
39,3.33066907387547E-16,7.07209850214345E-19,0.0125883912,2.3258863585,10
40,2.77555756156289E-16,2.15051978284676E-18,0.015240839,2.8828289175,2
41,2.77555756156289E-16,2.12679500247329E-18,0.018758,4.3545807,2
42,3.33066907387547E-16,1.27390679192424E-18,0.0211169015,5.6342613825,2
43,2.77555756156289E-16,7.19915580507913E-19,0.0225948765,5.889137905,2
44,3.33066907387547E-16,5.34792952529538E-19,0.029956309,6.7416296415,2
45,3.33066907387547E-16,7.87162377960582E-19,0.019913131,5.7387246065,2
46,3.05311331771918E-16,1.15424101471535E-18,0.0302942295,7.200795023,2
47,3.05311331771918E-16,4.22641543497704E-19,0.0368193945,9.5578498245,2
48,3.33066907387547E-16,5.93245306847357E-20,0.027467417,10.353867312,2
49,3.88578058618805E-16,7.88991310073225E-19,0.0286717565,11.6062845245,2
50,4.9960036108132E-16,1.33252294869226E-18,0.030685057,13.1743026835,2
51,3.88578058618805E-16,4.81530302773693E-19,0.033310767,14.767816772,1
52,3.60822483003176E-16,6.41174066480158E-19,0.034816619,16.52544473,1
53,5.55111512312578E-16,5.32892385976592E-19,0.038186721,18.648463713,1
54,3.33066907387547E-16,1.50233132422336E-18,0.040999881,21.237240088,1
55,3.33066907387547E-16,6.04906619508761E-19,0.04294207,23.296784635,1
56,3.88578058618805E-16,3.44725610538103E-18,0.050204516,31.913257405,1
57,3.88578058618805E-16,4.33178220411378E-18,0.066758637,32.216005143,1
58,3.33066907387547E-16,2.27753966361366E-18,0.140915115,39.731989806,1
59,3.33066907387547E-16,7.7326125926475E-19,0.072042485,50.700657637,1
60,4.44089209850063E-16,2.88300795585592E-19,0.074106417,57.078918085,1
,,,,,
LIBRARY_SPARSE,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
,,,,,
15,2.22044604925031E-16,5.46964343815439E-18,0.008262755567568,0.001107055930931,333
16,3.33066907387547E-16,1.23660541054015E-17,0.01063840874359,0.001140534516026,312
17,2.77555756156289E-16,5.62818037405003E-18,0.01513130879932,0.001444478666667,294
18,2.77555756156289E-16,5.4437249590675E-18,0.029289025277978,0.002039247747292,277
19,3.33066907387547E-16,3.16114360493196E-18,0.032457026201521,0.00217206413308,263
20,3.33066907387547E-16,4.67782611609656E-19,0.04651578502,0.003136575628,250
21,3.88578058618805E-16,6.7156290401439E-19,0.051340079368421,0.003379204789474,19
22,2.91433543964104E-16,9.33506444873408E-19,0.073108330888889,0.003553032166667,18
23,3.88578058618805E-16,4.49491973435918E-19,0.091173442117647,0.004088141647059,17
24,3.33066907387547E-16,3.96191448320308E-18,0.1189766669375,0.00540939425,16
25,3.88578058618805E-16,1.70935833006617E-18,0.1618112879375,0.006162675625,16
26,3.33066907387547E-16,3.02626317062354E-18,0.207479761666667,0.0104388226,15
27,4.44089209850063E-16,6.50431669352737E-19,0.269101081214286,0.008187257428571,14
28,3.33066907387547E-16,4.59250129420211E-19,0.328078241714286,0.008736520428571,14
29,3.88578058618805E-16,1.40178710101998E-19,0.536361547846154,0.012710702538462,13
30,4.9960036108132E-16,1.24935915999377E-18,0.678992216076923,0.015409165307692,13
31,4.44089209850063E-16,4.41892092297674E-18,0.8415397095,0.016386535833333,12
32,4.44089209850063E-16,1.69309552548591E-18,1.05794625108333,0.018285300166667,12
33,5.55111512312578E-16,4.63644429369561E-18,1.2843277525,0.0241814625,12
34,4.30211422042248E-16,3.51861116934043E-18,1.43862730036364,0.022431269090909,11
35,6.10622663543836E-16,9.86093249961168E-19,1.30888321254545,0.020653333636364,11
36,4.9960036108132E-16,7.8664656085912E-18,1.56505631218182,0.022931064454546,11
37,3.88578058618805E-16,2.23953144316963E-18,1.8836667784,0.0269495564,10
38,4.9960036108132E-16,2.6585020001838E-18,2.2535028245,0.0298880429,10
39,5.55111512312578E-16,1.5258309290362E-19,3.0338755612,0.0337078525,10
40,5.55111512312578E-16,6.0853234892502E-18,4.172861686,0.0475603165,2
41,4.44089209850063E-16,1.64914498134991E-18,4.905322532,0.050931273,2
42,5.55111512312578E-16,1.87152156832072E-18,5.6669347085,0.0599373655,2
43,4.9960036108132E-16,3.60808925827397E-19,6.494909291,0.0631063655,2
44,6.38378239159465E-16,7.41079765118573E-18,8.0420847535,0.0817375025,2
45,6.66133814775094E-16,8.03816904899984E-18,6.583411461,0.060109739,2
46,4.44089209850063E-16,1.36293942159001E-18,7.6045039,0.0709672825,2
47,7.21644966006352E-16,2.74069998219855E-18,9.2331941455,0.0711083675,2
48,5.55111512312578E-16,4.29078405182287E-18,10.7573150685,0.079463082,2
49,6.10622663543836E-16,4.42399537031157E-18,11.8842679245,0.085811891,2
50,6.10622663543836E-16,1.25700074663806E-18,13.472472565,0.102739488,2
51,6.10622663543836E-16,3.63672013898273E-18,15.480225394,0.10127545,1
52,7.21644966006352E-16,7.05579186047286E-18,17.899906702,0.107704473,1
53,7.21644966006352E-16,2.14453680688709E-18,20.227871045,0.134127124,1
54,6.5225602696728E-16,9.44516812299151E-18,22.835409401,0.128246511,1
55,7.21644966006352E-16,7.28723492313797E-18,25.982166446,0.141340076,1
56,7.21644966006352E-16,6.72489682761476E-18,37.676863256,0.180127545,1
57,6.10622663543836E-16,6.62305138270192E-18,44.848270291,0.20856691,1
58,7.21644966006352E-16,4.87898760243182E-18,49.111828924,0.258436919,1
59,6.10622663543836E-16,7.09091717910411E-18,55.348326611,0.22628498,1
60,5.55111512312578E-16,9.57648081486479E-18,74.226458491,0.65923564,1
,,,,,
GAUSS_SPARSE,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
,,,,,
15,1.38777878078145E-16,8.24745027897046E-19,0.000328756720721,0.002213189363363,333
16,1.66533453693773E-16,2.14570883371851E-18,0.000385873157051,0.001951716474359,312
17,1.66533453693773E-16,9.8064596014968E-19,0.000513212030612,0.002570338442177,294
18,1.2490009027033E-16,1.2588672993591E-18,0.000814921126354,0.003666062841155,277
19,1.38777878078145E-16,2.60808058211729E-19,0.000748347372624,0.004893695163498,263
20,2.77555756156289E-16,1.92844226459142E-18,0.00109438452,0.006914349108,250
21,2.22044604925031E-16,3.01443886193085E-18,0.001078225526316,0.006697718157895,19
22,1.38777878078145E-16,5.59643059832944E-18,0.001398552111111,0.008631668722222,18
