NOTE:,For agents count higher than 15, montecarlo isnt generated


LIBRARY_SPARSE
liczba agentów,czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań,

15,0.407953145,0.042404325,1,
16,0.170794618,0.018265535,1,
17,0.19780906,0.006532351,1,
18,0.308286633,0.008615239,1,
19,0.465406871,0.009011495,1,
20,0.689372574,0.010192693,1,
21,1.002174557,0.013130593,1,
22,1.460951819,0.016371029,1,
23,2.044053632,0.020551363,1,
24,2.844267962,0.025128907,1,
25,3.943065309,0.0322732,1,
26,5.26024473,0.039847313,1,
27,7.26719382,0.053526612,1,
28,9.419657584,0.059926442,1,
29,12.517854729,0.071353129,1,
30,17.320406392,0.087360936,1,
31,21.851870523,0.105079727,1,
32,28.89355267,0.146796657,1,
33,38.323517245,0.158268125,1,
34,46.322428864,0.180862865,1,
35,58.63582707,0.207157839,1,
36,75.047261208,0.253454341,1,
37,96.845532354,0.300062825,1,
38,121.193030467,0.342288321,1,
39,151.920037206,0.412709299,1,
40,187.661369186,0.463147675,1,
