NOTE:,For agents count higher than 15, montecarlo isnt generated


GAUSS_SEIDEL_MINUS10
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań,

3,0.0,0.0,0.40834900000000013,0.2974725,10,
4,1.5011991649771517E-11,2.0015988866362017E-12,0.0447715,0.5268487,10,
5,2.9626023856366146E-11,2.8215281467056762E-12,0.1178172,1.8590746,10,
6,3.68638453096537E-11,3.21945434101594E-12,0.06542250000000001,4.4421183,10,
7,4.702041533910517E-11,4.223676992343605E-12,0.10069360000000001,8.356477400000001,10,
8,5.405759173626734E-11,4.551867050240261E-12,0.1328358,16.4592872,10,
9,3.59272334105043E-11,3.3423068719042365E-12,0.24365559999999994,29.541304199999995,10,
10,4.1634029557258145E-11,3.554111572181379E-12,0.1334047,33.504587900000004,10,
11,4.540284814780193E-11,3.919357927127404E-12,0.1547379,54.40826929999999,10,
12,4.679526210971119E-11,3.90885092042366E-12,0.1653762,15.763705999999999,10,
13,4.693781474607306E-11,4.041150125423173E-12,0.21498340000000002,21.068773300000004,10,
14,4.834097011574556E-11,3.923604289107203E-12,0.2424608,25.5077626,10,
15,4.840447487275412E-11,3.935085313554975E-12,0.30412859999999997,35.3632077,10,
16,4.7585074769429525E-11,3.783102187790302E-12,0.38923440000000004,49.1060468,10,
17,4.703401557115683E-11,3.7398496484130745E-12,0.4937963000000001,70.6776613,10,
18,4.6814968568398285E-11,3.586123124698792E-12,0.5771386000000001,87.2188688,10,
19,4.605354986253474E-11,3.520684367932884E-12,0.7320472,136.21278750000002,10,
20,4.493297400820495E-11,3.3774185883244676E-12,0.8605025000000002,160.5790728,10,

LIBRARY_SPARSE
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań,

3,0.0,0.0,1.3406457999999999,0.47035769999999993,10,
4,5.551115123125783E-17,0.0,0.47496609999999995,0.1010918,10,
5,1.1102230246251565E-16,3.8824763509957104E-18,0.41813400000000006,0.20172830000000003,10,
6,1.3877787807814457E-16,3.717264591378872E-18,0.6604809000000001,0.21822619999999998,10,
7,1.1102230246251565E-16,3.781155076543197E-18,1.1981956999999999,0.2691986,10,
8,1.6653345369377348E-16,6.064304151435587E-18,2.3637366,0.4757625,10,
9,1.6653345369377348E-16,2.6508435105289763E-18,1.9372399999999999,0.6027958,10,
10,1.6653345369377348E-16,5.207455889059166E-19,3.1754852,0.5058565,10,
11,2.7755575615628914E-16,1.0878335547619383E-17,1.8338161,0.7614021,10,
12,2.220446049250313E-16,3.0173058841391694E-18,3.4444566,1.1053528,10,
13,2.7755575615628914E-16,3.07390827908604E-18,3.3506465000000007,0.46660329999999994,10,
14,2.7755575615628914E-16,5.464035173064366E-18,4.7382255,0.5735548,10,
15,2.220446049250313E-16,5.4696434381544006E-18,6.6017943,0.7023512000000001,10,
16,3.3306690738754696E-16,1.2366054105401402E-17,9.3647209,0.8327407000000001,10,
17,2.7755575615628914E-16,5.6281803740500504E-18,13.276065,1.1138861,10,
18,2.7755575615628914E-16,5.4437249590675136E-18,19.914268399999997,1.2903556000000003,10,
19,3.3306690738754696E-16,3.1611436049319523E-18,25.6891815,2.2569560999999996,10,
20,3.3306690738754696E-16,4.677826116096547E-19,34.3774926,3.4124849,10,

GAUSS_SPARSE
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań,

3,0.0,0.0,0.0275343,0.1458062,10,
4,0.0,0.0,0.0339627,0.0900553,10,
5,5.551115123125783E-17,2.560782274061001E-18,0.061383200000000006,0.233586,10,
6,5.551115123125783E-17,4.956352788505162E-19,0.0730455,0.4431649000000001,10,
7,5.551115123125783E-17,3.011672701348624E-19,0.062179700000000004,0.38894989999999996,10,
8,1.1102230246251565E-16,2.4671622769447924E-18,0.11212820000000001,0.6648614,10,
9,5.551115123125783E-17,1.0123984195168053E-17,0.1227663,0.8950913,10,
10,1.1102230246251565E-16,3.107224862509594E-18,0.15223499999999998,1.6394831999999997,10,
11,1.1102230246251565E-16,3.4647556925534362E-18,0.15354340000000002,1.8285822000000003,10,
12,1.1102230246251565E-16,2.6566724442296358E-18,0.23239140000000003,0.8626644000000001,10,
13,1.6653345369377348E-16,1.0327671051360432E-18,0.1720323,0.6182124,10,
14,1.1102230246251565E-16,2.0499451329362703E-18,0.2200466,0.8711974,10,
15,1.3877787807814457E-16,8.247450278970484E-19,0.2869481,1.2010399,10,
16,1.6653345369377348E-16,2.145708833718524E-18,0.4715525999999999,1.6819224000000002,10,
17,1.6653345369377348E-16,9.806459601496834E-19,0.4659775,2.4197153,10,
18,1.249000902703301E-16,1.2588672993590994E-18,0.6044451000000002,4.1657516999999995,10,
19,1.3877787807814457E-16,2.6080805821172887E-19,0.7067884999999999,3.9525317,10,
20,2.7755575615628914E-16,1.9284422645914113E-18,0.8399655000000001,4.8157651,10,

GAUSS
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań,

3,0.0,0.0,0.029468700000000004,0.0921031,10,
4,0.0,0.0,0.0308907,0.1661156,10,
5,5.551115123125783E-17,2.560782274061001E-18,0.0315732,0.43042199999999997,10,
6,5.551115123125783E-17,4.956352788505162E-19,0.06229330000000001,1.319426,10,
7,5.551115123125783E-17,3.011672701348624E-19,0.0657636,1.4015735,10,
8,1.1102230246251565E-16,2.4671622769447924E-18,0.1913177,4.212799,10,
9,5.551115123125783E-17,1.0123984195168053E-17,0.12578150000000002,4.7411268,10,
10,1.1102230246251565E-16,3.107224862509594E-18,0.11070580000000001,6.8766249,10,
11,1.1102230246251565E-16,3.4647556925534362E-18,0.1432465,10.6062657,10,
12,1.1102230246251565E-16,2.6566724442296358E-18,0.21868120000000002,4.3071778,10,
13,1.6653345369377348E-16,1.0327671051360432E-18,0.19279680000000002,4.5075406,10,
14,1.1102230246251565E-16,2.0499451329362703E-18,0.23017289999999999,6.824400800000001,10,
15,1.3877787807814457E-16,8.247450278970484E-19,0.3731348,9.951587400000001,10,
